@RELATION corpus

@ATTRIBUTE CRFSO1 REAL
@ATTRIBUTE CRFANP1 REAL
@ATTRIBUTE WRDADJ REAL
@ATTRIBUTE WRDPRO REAL
@ATTRIBUTE DRNEG REAL
@ATTRIBUTE DESWLsyd REAL
@ATTRIBUTE DESWLltd REAL
@ATTRIBUTE DESWLsy REAL
@ATTRIBUTE CRFCWOa REAL
@ATTRIBUTE DESSC REAL
@ATTRIBUTE DRNP REAL
@ATTRIBUTE CRFSOa REAL
@ATTRIBUTE CRFAO1 REAL
@ATTRIBUTE DESWC REAL
@ATTRIBUTE DESSL REAL
@ATTRIBUTE WRDVERB REAL
@ATTRIBUTE CNCADC REAL
@ATTRIBUTE DRVP REAL
@ATTRIBUTE SYNNP REAL
@ATTRIBUTE RDFFGL REAL
@ATTRIBUTE CNCCaus REAL
@ATTRIBUTE LDTTRc REAL
@ATTRIBUTE CRFAOa REAL
@ATTRIBUTE CNCTemp REAL
@ATTRIBUTE CRFCWOad REAL
@ATTRIBUTE CRFNOa REAL
@ATTRIBUTE CNCAdd REAL
@ATTRIBUTE WRDPRP2 REAL
@ATTRIBUTE CRFCWO1d REAL
@ATTRIBUTE CNCLogic REAL
@ATTRIBUTE WRDNOUN REAL
@ATTRIBUTE LDTTRa REAL
@ATTRIBUTE CRFCWO1 REAL
@ATTRIBUTE CNCAll REAL
@ATTRIBUTE WRDPRP3s REAL
@ATTRIBUTE DESPL REAL
@ATTRIBUTE WRDPRP3p REAL
@ATTRIBUTE DESSLd REAL
@ATTRIBUTE WRDPRP1s REAL
@ATTRIBUTE DESWLlt REAL
@ATTRIBUTE CRFANP1a REAL
@ATTRIBUTE WRDPRP1p REAL
@ATTRIBUTE CRFNO1 REAL
@ATTRIBUTE WRDADV REAL
@ATTRIBUTE DESPC REAL
@ATTRIBUTE class {simple,complejo}

@DATA
0.750000,0.000000,0.015000,0.008000,6.000000,0.985403,2.498073,1.898148,0.169010,9.000000,0.000000,0.543210,0.750000,324.000000,36.000000,0.064000,0.002000,9.000000,0.785714,90.456546,0.000000,0.576547,0.802469,0.003000,0.129446,0.432099,0.012000,0.000000,0.048111,0.011000,0.073000,0.524457,0.127647,0.017000,0.000000,278.980883,0.008000,12.469964,0.000000,4.435185,0.000000,0.000000,0.625000,0.025000,3.000000,simple
0.625000,0.000000,0.015000,0.008000,2.000000,1.168293,2.503831,2.078767,0.164789,9.000000,0.000000,0.691358,0.750000,292.000000,32.444444,0.062000,0.006000,9.000000,0.750000,79.298022,0.005000,0.603704,0.827160,0.001000,0.124187,0.506173,0.009000,0.000000,0.046251,0.008000,0.062000,0.539877,0.117739,0.020000,0.006000,381.340181,0.002000,13.630032,0.000000,4.547945,0.000000,0.000000,0.500000,0.017000,3.000000,simple
0.818182,0.000000,0.018000,0.010000,8.000000,1.092607,2.466902,1.961039,0.163456,12.000000,0.000000,0.833333,0.909091,385.000000,32.083333,0.082000,0.003000,12.000000,0.695238,86.304423,0.003000,0.519444,0.888889,0.000000,0.110490,0.777778,0.017000,0.000000,0.041739,0.015000,0.088000,0.474178,0.123027,0.023000,0.008000,210.055945,0.002000,9.049946,0.000000,4.381818,0.000000,0.000000,0.727273,0.018000,5.000000,simple
0.857143,0.000000,0.015000,0.009000,3.000000,1.036740,2.409015,1.892183,0.204238,8.000000,0.000000,0.812500,1.000000,371.000000,46.375000,0.088000,0.006000,8.000000,0.581633,91.342738,0.001000,0.505814,1.000000,0.003000,0.123087,0.812500,0.018000,0.000000,0.054294,0.018000,0.070000,0.462651,0.170476,0.028000,0.007000,37.652357,0.002000,22.244983,0.000000,4.199461,0.000000,0.000000,0.857143,0.017000,5.000000,simple
0.727273,0.000000,0.006000,0.003000,3.000000,1.128247,2.636931,1.980769,0.164717,12.000000,0.000000,0.611111,0.909091,312.000000,26.000000,0.070000,0.004000,12.000000,0.658228,84.466469,0.001000,0.551724,0.847222,0.003000,0.108483,0.527778,0.015000,0.000000,0.047115,0.015000,0.064000,0.495677,0.141538,0.023000,0.003000,52.204725,0.000000,9.263810,0.000000,4.394231,0.000000,0.000000,0.545455,0.025000,3.000000,simple
0.108108,0.000000,0.027000,0.016000,5.000000,1.976842,2.868182,2.065169,0.078654,38.000000,0.000000,0.168283,0.162162,445.000000,11.710526,0.088000,0.005000,26.000000,0.603175,75.958665,0.002000,0.515663,0.265235,0.001000,0.118743,0.146814,0.018000,0.004000,0.129611,0.017000,0.108000,0.428058,0.097092,0.027000,0.010000,128.614959,0.000000,11.638491,0.002000,4.274157,0.000000,0.000000,0.081081,0.034000,13.000000,simple
0.800000,0.000000,0.014000,0.015000,6.000000,1.040773,2.492947,1.946746,0.182065,11.000000,0.000000,0.710744,0.900000,338.000000,30.727273,0.069000,0.006000,11.000000,0.660000,87.105762,0.000000,0.511111,0.884298,0.001000,0.112699,0.586777,0.015000,0.000000,0.040933,0.013000,0.072000,0.451697,0.153688,0.022000,0.014000,167.439541,0.001000,16.715806,0.000000,4.310651,0.000000,0.000000,0.500000,0.022000,3.000000,simple
0.800000,0.000000,0.016000,0.001000,2.000000,1.126911,2.793107,2.110320,0.149547,11.000000,0.000000,0.702479,0.800000,281.000000,25.545455,0.061000,0.006000,11.000000,0.615385,76.820783,0.003000,0.556818,0.719008,0.002000,0.120537,0.537190,0.007000,0.000000,0.055993,0.008000,0.064000,0.478788,0.135408,0.019000,0.001000,159.519069,0.000000,12.364171,0.000000,4.903915,0.000000,0.000000,0.700000,0.024000,3.000000,simple
0.187500,0.000000,0.025000,0.009000,2.000000,1.194809,2.577765,1.933511,0.138291,17.000000,0.000000,0.242215,0.687500,376.000000,22.117647,0.082000,0.002000,17.000000,0.744898,86.730071,0.002000,0.524079,0.557093,0.004000,0.103146,0.238754,0.015000,0.000000,0.045881,0.012000,0.070000,0.472813,0.116247,0.022000,0.008000,287.255983,0.001000,9.393364,0.000000,4.305851,0.000000,0.000000,0.187500,0.020000,3.000000,simple
0.437500,0.000000,0.014000,0.005000,2.000000,1.111995,2.652365,1.971609,0.135011,17.000000,0.000000,0.384083,0.687500,317.000000,18.647059,0.062000,0.001000,17.000000,0.707865,83.726803,0.000000,0.536184,0.612457,0.000000,0.101545,0.301038,0.009000,0.000000,0.049126,0.010000,0.073000,0.483333,0.116727,0.011000,0.000000,217.081782,0.005000,5.894289,0.000000,4.476341,0.000000,0.000000,0.375000,0.011000,2.000000,simple
